CN,NN,Rate Constants
Cc2ccc(c1ccc(F)cc1F)nc2,c1cnc3c(c1)ccc2cccnc23,0.274365341
Cc2ccc(c1ccccc1)nc2,c1cnc3c(c1)ccc2cccnc23,0.629426372
c2ccc(n1cccn1)cc2,c1cnc3c(c1)ccc2cccnc23,0.823096024
c1ccc3c(c1)ccc2cccnc23,c1cnc3c(c1)ccc2cccnc23,0.89168736
Cc3ccc(c2ccc(c1ccccc1)cc2)nc3,c1cnc3c(c1)ccc2cccnc23,1.33753104
Cc2ccc(c1ccc(F)cc1)nc2,c1cnc3c(c1)ccc2cccnc23,0.411548012
c3ccc(c2nc1ccccc1s2)cc3,c1cnc3c(c1)ccc2cccnc23,0.382151726
c3ccc(c2nc1ccccc1o2)cc3,c1cnc3c(c1)ccc2cccnc23,0.33438276
Cc3ccc(c2nc1ccccc1o2)cc3,c1cnc3c(c1)ccc2cccnc23,0.382151726
COc3ccc(c2nc1ccccc1s2)cc3,c1cnc3c(c1)ccc2cccnc23,0.972749847
COc3ccc(c2nc1ccccc1o2)cc3,c1cnc3c(c1)ccc2cccnc23,0.089168736
Fc3ccc(c2nc1ccccc1o2)cc3,c1cnc3c(c1)ccc2cccnc23,1.07E-05
Clc3ccc(c2nc1ccccc1s2)cc3,c1cnc3c(c1)ccc2cccnc23,0.169845211
Clc3ccc(c2nc1ccccc1o2)cc3,c1cnc3c(c1)ccc2cccnc23,1.07E-05
Cc2ccc(c1ccc(Cl)cc1)nc2,c1cnc3c(c1)ccc2cccnc23,0.713349888
FC(F)(F)c3ccc(c2nc1ccccc1s2)cc3,c1cnc3c(c1)ccc2cccnc23,0.59445824
FC(F)(F)c3ccc(c2nc1ccccc1o2)cc3,c1cnc3c(c1)ccc2cccnc23,0.178337472
Cc2ccc(c1cccc(C#N)c1)nc2,c1cnc3c(c1)ccc2cccnc23,0.465228188
COc2cccc(c1ccc(C)cn1)c2,c1cnc3c(c1)ccc2cccnc23,1.07E-05
Cc2ccc(c1ccc(S(C)(=O)=O)cc1)nc2,c1cnc3c(c1)ccc2cccnc23,1.18891648
Cc2ccc(c1ccc(OC(F)(F)F)cc1)nc2,c1cnc3c(c1)ccc2cccnc23,0.713349888
