,method,0,1,2,3,4,5,6,7,8,9,10
25,MeanMax,91.59,91.59,95.65,96.38,96.38,96.38,96.38,96.38,96.38,99.05,99.05
26,MeanMax,65.61,83.98,91.18,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74
27,MeanMax,90.92,92.04,92.04,93.1,94.46,95.0,95.0,96.49,96.49,96.49,96.49
28,MeanMax,82.98,91.07,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85
29,MeanMax,93.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
30,MeanMax,44.69,82.62,83.96,83.96,96.97,98.42,98.42,98.42,98.42,98.42,98.42
31,MeanMax,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.61
32,MeanMax,93.62,94.13,94.6,96.97,96.97,96.97,96.97,96.97,96.97,96.97,96.97
33,MeanMax,94.71,96.42,96.42,96.42,98.2,98.69,98.69,98.69,98.69,98.69,98.69
34,MeanMax,86.11,94.15,96.14,96.14,96.14,96.14,96.14,96.57,96.57,96.57,96.57
35,MeanMax,93.94,98.42,98.42,98.42,98.42,98.42,98.42,98.42,98.42,98.42,98.42
36,MeanMax,90.92,96.2,96.2,98.2,98.2,98.69,98.69,98.69,98.69,98.69,98.69
37,MeanMax,70.14,85.85,96.3,96.3,96.3,96.3,96.75,97.83,97.83,98.42,98.42
38,MeanMax,71.16,90.3,92.83,93.67,93.67,93.67,93.67,93.67,93.67,93.67,93.67
39,MeanMax,68.62,82.99,93.05,93.05,98.69,98.69,98.69,98.69,98.69,98.69,98.69
40,MeanMax,79.94,92.16,95.8,95.8,95.8,95.8,95.8,95.85,95.85,95.85,95.85
41,MeanMax,91.47,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82
42,MeanMax,86.97,94.13,94.13,95.97,95.97,95.97,99.05,99.15,99.15,99.15,99.15
43,MeanMax,71.22,83.98,91.15,95.37,96.3,96.74,96.74,96.74,96.74,96.74,98.69
44,MeanMax,72.82,75.62,77.02,77.02,77.02,93.94,95.88,95.88,97.29,97.29,97.29
45,MeanMax,93.65,94.47,94.47,94.47,95.06,95.06,95.06,98.69,98.69,98.69,98.69
46,MeanMax,22.51,22.51,88.58,88.58,94.69,94.69,94.69,96.97,96.97,96.97,96.97
47,MeanMax,68.57,88.05,92.7,92.7,97.45,97.45,97.45,97.83,97.83,97.83,97.83
48,MeanMax,50.85,82.54,92.96,96.3,96.3,96.3,96.75,96.75,97.83,97.83,98.42
49,MeanMax,95.06,96.04,96.04,96.04,96.04,96.04,98.69,98.69,98.69,98.69,98.69
0,VarMax,90.33,90.33,94.38,94.38,94.38,94.38,94.38,94.38,94.38,94.38,94.38
1,VarMax,82.32,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,93.81,93.81
2,VarMax,94.6,94.6,94.6,94.6,94.6,96.0,96.0,96.0,96.0,96.0,96.0
3,VarMax,92.13,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45
4,VarMax,90.6,91.17,91.17,91.17,91.17,91.17,91.17,91.17,91.17,91.17,92.27
5,VarMax,93.79,93.79,95.65,95.65,95.65,95.65,95.65,95.65,96.25,96.6,96.6
6,VarMax,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6
7,VarMax,75.63,87.27,87.27,91.45,91.45,91.45,91.45,91.45,91.45,91.45,91.45
8,VarMax,30.63,84.54,89.8,89.8,89.8,89.8,89.8,89.8,89.8,96.0,96.0
9,VarMax,89.96,89.96,89.96,89.96,89.96,89.96,94.41,94.41,94.41,94.41,94.41
10,VarMax,92.3,92.3,94.38,94.38,94.38,94.38,94.38,94.38,94.38,94.38,94.38
11,VarMax,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37
12,VarMax,93.44,93.44,93.44,93.44,93.44,93.44,93.44,93.44,93.44,93.44,93.44
13,VarMax,89.93,89.93,89.93,89.93,89.93,89.93,89.93,89.93,89.93,89.93,89.93
14,VarMax,70.45,78.42,78.42,82.92,95.85,95.85,95.85,95.85,95.85,95.85,95.85
15,VarMax,80.65,88.5,89.19,98.53,98.53,98.53,98.69,98.69,98.69,98.69,98.69
16,VarMax,83.83,83.83,91.18,91.18,91.18,97.09,97.09,97.09,97.09,97.09,97.09
17,VarMax,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85
18,VarMax,94.13,94.13,94.13,94.13,94.13,94.13,96.16,96.16,96.16,96.16,96.16
19,VarMax,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45
20,VarMax,77.29,87.68,87.68,89.63,90.69,90.69,90.69,93.7,93.7,93.7,93.7
21,VarMax,90.3,90.3,90.3,93.38,93.38,93.38,93.38,93.38,93.38,93.38,93.38
22,VarMax,82.07,94.15,94.15,94.15,94.15,94.15,94.15,94.15,94.15,94.15,94.15
23,VarMax,92.83,92.83,92.83,92.83,92.83,93.65,93.65,93.65,93.65,93.65,93.65
24,VarMax,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
25,VarMax,91.59,91.59,96.49,96.49,96.49,96.49,96.75,96.75,96.75,96.75,96.75
26,VarMax,65.61,96.49,96.49,96.49,96.49,96.49,96.49,96.49,96.49,96.49,96.49
